"respondent","condition","stimuli","accuracy","latency"
5,"Whitebad","bm56",1,1354
5,"Whitebad","pleasure",0,3291
5,"Whitegood","joy",1,985
5,"Whitegood","bm56",1,611
5,"Whitegood","pain",1,661
5,"Whitegood","wf6",1,748
5,"Whitegood","love",0,1501
5,"Whitegood","wf3",1,805
5,"Whitegood","laughter",1,847
5,"Whitegood","wf2",1,591
5,"Whitegood","peace",1,833
5,"Whitegood","wm1",1,625
5,"Whitegood","good",1,690
5,"Whitegood","bf23",1,736
5,"Whitegood","hate",1,1077
5,"Whitegood","wm4",1,1051
5,"Whitegood","glory",1,859
5,"Whitegood","bf14",1,562
5,"Whitegood","horrible",1,805
5,"Whitegood","wm6",1,631
5,"Whitegood","annoying",1,983
5,"Whitegood","bm23",1,538
5,"Whitegood","wm4",1,674
5,"Whitegood","wf3",1,611
5,"Whitegood","pleasure",1,693
5,"Whitegood","bf56",1,634
5,"Whitegood","evil",1,730
5,"Whitegood","bm14",1,567
5,"Whitegood","good",1,634
5,"Whitegood","bf23",1,738
5,"Whitegood","love",1,814
5,"Whitegood","wf2",1,1111
5,"Whitegood","terrible",1,629
5,"Whitegood","bf14",1,693
5,"Whitegood","peace",1,931
5,"Whitegood","bm23",1,616
5,"Whitegood","wm6",1,728
5,"Whitegood","laughter",1,645
5,"Whitegood","wm1",1,597
5,"Whitegood","failure",0,1489
5,"Whitegood","wf6",1,748
5,"Whitegood","wicked",1,600
5,"Whitegood","bm14",1,626
5,"Whitegood","pain",1,2123
5,"Whitegood","wm4",1,656
5,"Whitegood","horrible",1,504
5,"Whitegood","wf6",1,581
5,"Whitegood","wicked",1,639
5,"Whitegood","bf56",1,584
5,"Whitegood","glory",1,618
5,"Whitegood","wf3",1,643
5,"Whitegood","pleasure",1,819
5,"Whitegood","bm56",1,524
5,"Whitegood","annoying",0,1343
5,"Whitegood","bm23",1,532
5,"Whitegood","failure",1,696
5,"Whitegood","bm56",1,678
5,"Whitegood","hate",1,613
5,"Whitegood","bm14",1,614
5,"Whitegood","terrible",1,647
6,"Whitebad","joy",1,664
6,"Whitebad","bf56",1,1207
6,"Whitebad","laughter",1,2657
6,"Whitebad","bm56",1,1193
6,"Whitebad","glory",1,740
6,"Whitebad","bm14",1,600
6,"Whitebad","pleasure",1,666
6,"Whitebad","wf6",1,673
6,"Whitebad","peace",1,792
6,"Whitebad","wm6",1,697
6,"Whitebad","love",1,711
6,"Whitebad","wm4",1,788
6,"Whitebad","good",1,631
6,"Whitebad","bm23",1,719
6,"Whitebad","pain",1,804
6,"Whitebad","wf2",1,734
6,"Whitebad","terrible",1,714
6,"Whitebad","wf3",1,583
6,"Whitebad","wicked",1,609
6,"Whitebad","bf14",1,602
6,"Whitebad","bf23",1,718
6,"Whitebad","evil",0,2587
6,"Whitebad","wm1",1,597
6,"Whitebad","bf56",1,1285
6,"Whitebad","hate",1,708
6,"Whitebad","bf23",1,617
6,"Whitebad","peace",1,1754
6,"Whitebad","wf2",1,694
6,"Whitebad","horrible",1,788
6,"Whitebad","bf14",1,630
6,"Whitebad","love",1,1951
6,"Whitebad","wf3",1,779
6,"Whitebad","annoying",1,814
6,"Whitebad","wm1",1,575
6,"Whitebad","failure",1,634
6,"Whitebad","bm23",1,587
6,"Whitebad","pain",1,685
6,"Whitebad","bm14",1,739
6,"Whitebad","glory",1,543
6,"Whitebad","wm6",1,683
6,"Whitebad","horrible",1,641
6,"Whitebad","wf6",1,569
6,"Whitebad","hate",1,588
6,"Whitebad","wm4",1,591
6,"Whitebad","failure",1,553
6,"Whitebad","bm56",1,564
6,"Whitebad","joy",1,536
6,"Whitebad","bm56",1,588
6,"Whitebad","evil",1,622
6,"Whitebad","wf3",1,631
6,"Whitebad","terrible",1,647
6,"Whitebad","bf56",1,903
6,"Whitebad","good",1,565
6,"Whitebad","wf2",1,664
6,"Whitebad","wicked",1,559
6,"Whitebad","bm14",1,562
6,"Whitebad","laughter",1,1342
6,"Whitebad","wm4",1,642
6,"Whitebad","pleasure",1,690
6,"Whitegood","annoying",1,1577
6,"Whitegood","wf6",1,603
6,"Whitegood","hate",1,1077
6,"Whitegood","wm6",1,667
6,"Whitegood","good",1,658
6,"Whitegood","wf3",1,489
6,"Whitegood","peace",1,519
6,"Whitegood","wm1",1,492
