id	order	test	blocknum	trialnum	correct	latency
3	1	2	7	38	1	589
3	1	2	7	39	0	1113
3	1	2	7	40	1	662
3	1	2	7	41	1	559
3	1	2	7	42	1	726
3	1	2	7	43	0	930
3	1	2	7	44	1	794
3	1	2	7	45	1	507
3	1	2	7	46	1	665
3	1	2	7	47	1	685
3	1	2	7	48	1	1085
4	1	1	3	1	1	668
4	1	1	3	2	1	1083
4	1	1	3	3	1	626
4	1	1	3	4	1	661
4	1	1	3	5	1	617
4	1	1	3	6	1	558
4	1	1	3	7	1	611
4	1	1	3	8	1	669
4	1	1	3	9	1	602
4	1	1	3	10	0	944
4	1	1	3	11	1	514
4	1	1	3	12	1	1172
4	1	1	3	13	1	592
4	1	1	3	14	1	643
4	1	1	3	15	1	659
4	1	1	3	16	1	533
4	1	1	3	17	1	548
4	1	1	3	18	1	561
4	1	1	3	19	1	1381
4	1	1	3	20	1	659
4	1	1	3	21	1	574
4	1	1	3	22	1	591
4	1	1	3	23	1	575
4	1	1	3	24	1	647
4	1	1	3	25	1	638
4	1	1	3	26	1	534
4	1	1	3	27	1	1061
4	1	1	3	28	1	1613
4	1	1	3	29	1	1030
4	1	1	3	30	1	604
4	1	1	3	31	1	996
4	1	1	3	32	1	815
4	1	1	3	33	1	646
4	1	1	3	34	1	755
4	1	1	3	35	1	1159
4	1	1	3	36	1	1195
4	1	1	3	37	1	532
4	1	1	3	38	1	668
4	1	1	3	39	1	411
4	1	1	3	40	1	534
4	1	1	3	41	1	538
4	1	1	3	42	1	518
4	1	1	3	43	1	601
4	1	1	3	44	1	737
4	1	1	3	45	1	571
4	1	1	3	46	1	668
4	1	1	3	47	1	639
4	1	1	3	48	1	630
4	1	2	4	1	1	667
4	1	2	4	2	1	531
4	1	2	4	3	1	498
4	1	2	4	4	1	718
4	1	2	4	5	1	492
4	1	2	4	6	1	576
4	1	2	4	7	1	459
4	1	2	4	8	1	495
4	1	2	4	9	1	459
4	1	2	4	10	1	585
4	1	2	4	11	1	471
4	1	2	4	12	1	644
4	1	2	4	13	1	469
4	1	2	4	14	1	478
4	1	2	4	15	1	587
4	1	2	4	16	1	557
4	1	2	4	17	1	733
4	1	2	4	18	1	565
4	1	2	4	19	1	567
4	1	2	4	20	1	613
4	1	2	4	21	1	536
4	1	2	4	22	1	633
4	1	2	4	23	1	471
4	1	2	4	24	1	682
4	1	2	4	25	1	576
4	1	2	4	26	1	554
4	1	2	4	27	1	510
4	1	2	4	28	1	520
4	1	2	4	29	0	1089
4	1	2	4	30	1	1011
4	1	2	4	31	1	469
4	1	2	4	32	1	464
4	1	2	4	33	1	564
4	1	2	4	34	1	631
4	1	2	4	35	1	658
4	1	2	4	36	1	531
4	1	2	4	37	1	561
4	1	2	4	38	1	644
4	1	2	4	39	1	751
4	1	2	4	40	1	578
4	1	2	4	41	1	489
4	1	2	4	42	1	546
4	1	2	4	43	1	540
4	1	2	4	44	1	454
4	1	2	4	45	1	524
4	1	2	4	46	1	551
4	1	2	4	47	1	519
4	1	2	4	48	1	762
4	1	1	6	1	1	963
4	1	1	6	2	0	1620
4	1	1	6	3	1	801
4	1	1	6	4	1	978
4	1	1	6	5	1	764
4	1	1	6	6	0	1161
4	1	1	6	7	1	1671
4	1	1	6	8	0	1176
4	1	1	6	9	1	3081
4	1	1	6	10	1	1989
4	1	1	6	11	1	2679
4	1	1	6	12	0	1140
4	1	1	6	13	1	676
4	1	1	6	14	1	634
4	1	1	6	15	1	1265
4	1	1	6	16	1	759
4	1	1	6	17	1	898
4	1	1	6	18	1	574
4	1	1	6	19	1	819
4	1	1	6	20	0	2154
4	1	1	6	21	1	1197
4	1	1	6	22	1	1086
4	1	1	6	23	1	1204
4	1	1	6	24	1	1335
4	1	1	6	25	1	1812
4	1	1	6	26	1	1067
4	1	1	6	27	1	923
4	1	1	6	28	1	1628
4	1	1	6	29	1	861
4	1	1	6	30	1	1100
4	1	1	6	31	1	1264
4	1	1	6	32	0	1365
4	1	1	6	33	1	2878
4	1	1	6	34	0	1141
4	1	1	6	35	1	906
4	1	1	6	36	1	1191
4	1	1	6	37	1	697
4	1	1	6	38	1	922
4	1	1	6	39	1	753
4	1	1	6	40	0	1162
4	1	1	6	41	1	879
4	1	1	6	42	1	924
4	1	1	6	43	1	780
